title,artist,difficulty,youtube_url,workshop_url,download_url,tile_count,creator,tags
M1LLI0N PP (Short),かめりあ(Camellia),20.3,https://youtu.be/RZV-aOjBeIE, ,https://drive.google.com/file/d/1l5g5KSlI5zBxh6fRk6mYQaZynxVkYysb/view,1695,XoqmfFlt,"PSEUDO, GALLOP, EPILEPSY_WARNING, FUNKY_BEAT, BEAT_P64"
True Hero,Kobaryo,20.3,https://youtu.be/4QjzZv1sESI?si=E5K6llSHCBXodI5x,,,1785,무썸네일러,
MAXIMUM BURST,HyuN,20.3,https://youtu.be/opBCZSwtBXA, ,https://cdn.discordapp.com/attachments/784666710078783508/786452584670953502/MAXIMUM_BURST_Fixed.zip,1747,헤르니,"PSEUDO_P2, TRIPLET, TRESILLO"
One Bite,かめりあ (Camellia),20.3,https://youtu.be/bLwwAbogemk,https://steamcommunity.com/sharedfiles/filedetails/?id=2873656473,https://drive.google.com/file/d/1TjSdpr08e7pvZjDBiIOhjolPWHS3FXwr/view,2750,Team Uncharted,EPILEPSY_WARNING
FM Synthesis Experiment,かめりあ(Camellia),20.3,https://youtu.be/gXQMU0fqB84,https://steamcommunity.com/sharedfiles/filedetails/?id=2851109644&searchtext=,https://drive.google.com/file/d/1Fbv1xsC6aFonN26JJINEjYFw_tchhFJ7/view,4318,ColdWater_,"PSEUDO, GALLOP, EPILEPSY_WARNING, POLYRHYTHM, BEAT_P64, LONG"
Rush E 2 (Fixed),Sheet Music Boss,20.3,https://www.youtube.com/watch?v=xdfLKWqF8k4,https://steamcommunity.com/sharedfiles/filedetails/?id=2839511276,https://mega.nz/file/sToQQbzb#4NImEW7nxExzvLb3va82X1LHHGMn1ecJ5_V5nmgfYwg,2299,V0W4N,"PSEUDO_P2, GALLOP, TRIPLET, SPEED_CHANGES"
MAXIMUM BURST,HyuN,20.3,https://www.youtube.com/watch?v=BIwmwzPOO3A, ,https://cdn.discordapp.com/attachments/852901942534471690/931554383991300116/Max_2.zip,1702,"지네고, 한가지","PSEUDO, TRIPLET"
Compute It With Some Devilish Alcoholic Steampunk Engines,かめりあ (Camellia),20.3,https://youtu.be/Z2mMjphmIeY,,,2981,叁月mA7cH_,EPILEPSY_WARNING
Fresh! VIP (feat. Schwank),Tanger,20.3,https://youtu.be/AZ0e_JOK4v4, ,https://cdn.discordapp.com/attachments/925221112961462274/938370667496222720/Fresh_VIP.zip,2321,아나,"PSEUDO_P2, GALLOP, TRIPLET, POLYRHYTHM, BEAT_P64"
Avantgarde,Raimukun,20.3,https://www.youtube.com/watch?v=fHBsXbY_Ldc,,,1890,NoviceTowa.,
Festival Forever,TAKIO,20.3,https://www.youtube.com/watch?v=V9BFUcrk1Pg,,,1894,"Sedi, REGEN",EPILEPSY_WARNING
Dans la mer de son,かめりあ(Camellia),20.3,https://www.youtube.com/watch?v=1MKmZsh660s&t, ,https://drive.google.com/file/d/1MI15vuJ06XEZTBl95RTlPZTp0hiI1tR1/view?usp=sharing,3590,헤르니,"PSEUDO_P2, GALLOP, TRIPLET, SPEED_CHANGES, LONG"
Zoisite,Ludicin,20.3,https://youtu.be/-jlcAdzJA_o,https://steamcommunity.com/sharedfiles/filedetails/?id=2822326941,https://drive.google.com/drive/folders/1zU98CtERnG1E3s8GHsoVROw9h7-q52_i?usp=sharing,2953,Team Uncharted,EPILEPSY_WARNING
Racemization,かめりあ(Camellia),20.3,https://youtu.be/ELqVUYRAR9A, ,https://cdn.discordapp.com/attachments/674252951124181012/839381457809309696/Camellia-_-RacemizationFull.zip,3255,"pinball, 야채, D2T, 수론잉","PSEUDO_P2, GALLOP, TRIPLET, LONG"
Nyarlathoteps Dreamland,Raimukun,20.3,https://www.youtube.com/watch?v=1oKdiy9zxSg, ,https://cdn.discordapp.com/attachments/929920452732792875/990823995198808094/Nyarlathoteps_Dreamland.zip,2296,Dani,"PSEUDO_P2, GALLOP, TRIPLET, POLYRHYTHM"
Selfmade Disaster,Plum,20.3,https://youtu.be/STIZ95IM9D0, ,https://cdn.discordapp.com/attachments/943506302951391274/1022019562365001788/Selfmade_Disaster_Remake.zip,1988,"새제비, sPαLd",EPILEPSY_WARNING
We Could Get More Machinegun Psystyle! (And More Genre Switches),かめりあ(Camellia),20.3,https://youtu.be/a2k9Wwn0vg4, ,https://drive.google.com/file/d/12LpXHs-z8anBsquLQ1fw_qg_8PLDQBlt/view?usp=sharing,3963,oceanic shipping and trade,
[ns],かめりあ(Camellia),20.3,https://youtu.be/VdsntFy8bc0, ,https://cdn.discordapp.com/attachments/750201197809631323/919205080190820372/ns.zip,2542,ruren,"PSEUDO, TRIPLET, FUNKY_BEAT, LONG"
Revolution,BilliumMoto,20.3,https://youtu.be/u_uSxQIMVIA?si=KtH-PfIOzl5GoYTu,,,1778,"Sakura, B.Sanmul | 부산물, 니스, Femboy, Speaker",
Rainy Gate,E0ri4,20.3,https://youtu.be/-xoriQ2lC_Q, ,https://cdn.discordapp.com/attachments/861881930194485268/863782548701052948/E0ri4_-_rainy_gate.zip,1457,"C11H15NO2, heezy","PSEUDO_P2, GALLOP, TRESILLO, BEAT_P64"
One Muffin. Please.,kas_0120,20.3,https://www.youtube.com/watch?v=xNg1f8EiIjY&ab_channel=%ED%85%8C%EC%98%A4,,,2052,테오,
Burning Aquamarine,かめりあ(Camellia),20.4,https://youtu.be/1ohG2PtVC7g, ,https://cdn.discordapp.com/attachments/817394722691612723/942834267178823770/Burning_Aquamarine_2.zip,3771,한가지,"PSEUDO, GALLOP, MAGIC_SHAPE, FUNKY_BEAT, LONG"
Evanescent,LeaF,20.4,https://youtu.be/zuX2K57cJD8, ,https://cdn.discordapp.com/attachments/873062945653927966/873066949968527390/LeaF_-_Evanescent.zip,1467,pinball,"PSEUDO_P2, TRIPLET, FUNKY_BEAT, BEAT_P64"
SECRET BOSS (ex),かめりあ(Camellia),20.4,https://youtu.be/RIbteKaOGnM, ,https://cdn.discordapp.com/attachments/669931765133213706/796804419924131840/Camellia_-_SECRET_BOSS_ex.zip,3007,XiZnYng,"PSEUDO, GALLOP, TRIPLET, TRESILLO, LONG"
PLUM MEGAMIX,Plum,20.4,https://youtu.be/wrgxmL_6Mjk, ,https://drive.google.com/file/d/1tasXfnTdJTb2j2RI7ESc69vytiKE1fcu/view?usp=sharing,9452,tBAN,"PSEUDO_P2, GALLOP, LONG"
ΩΩPARTS,かめりあ(Camellia),20.4,https://youtu.be/RhckEvh8IyU, ,https://drive.google.com/file/d/1ic8QQn8zMMxvIJ4EeXxaToK4D5dI_jWR/view?usp=sharing,3462,노벨륨일까나? +MASTER---,"PSEUDO_P2, EPILEPSY_WARNING, BEAT_P64, SPEED_CHANGES, LONG"
Electromagnetic Stealth Girl Born In Philadelphia,かめりあ(Camellia),20.4,https://youtu.be/nFjACz0t37U, ,https://cdn.discordapp.com/attachments/724627798219554817/885413355593015317/Camellia_-_Electromagnetic_Stealth_Girl_Born_In_Philadelphia.zip,3457,tBAN,"PSEUDO_P2, GALLOP, EPILEPSY_WARNING, QUINTUPLET, FUNKY_BEAT"
S.A.T.E.L.L.I.T.E.,かめりあ(Camellia),20.4,https://youtu.be/xb8XVRQecYU, ,https://cdn.discordapp.com/attachments/943506302951391274/1036134649124102175/S.A.T.E.L.L.I.T.E.zip,2033,"새제비, sPαLd",
THE WORLD WAR VIII,Hexacube,20.4,https://youtu.be/B7HxP6nsdoQ, ,https://drive.google.com/drive/folders/1kCBPvZL4PxVekXWu1L6LMTDjzsn_gLxn?usp=sharing,2360,Team Hexa,EPILEPSY_WARNING
手裏剣はテレカクシ,*レイナヒトミ(reinahitomi),20.4,https://youtu.be/EFeuEoB0nlo, ,https://drive.google.com/file/d/1nPc01Rsvsr2j5XXefOuJ3yY2in0tR37E/view,1516,Resilia_,"PSEUDO, GALLOP, TRIPLET"
